Humidity,Moisture,LightIntensity,SuitableCrop
60,40,2000,Wheat
70,45,1800,Rice
80,50,1600,Maize
65,35,2200,Barley
75,40,2000,Oats
85,55,1800,Sorghum
55,30,2200,Millet
65,45,2100,Rye
70,50,1900,Quinoa
75,60,2000,Soybeans
65,45,1800,Peanuts
70,50,1600,Lentils
75,60,2200,Chickpeas
60,40,2000,Kidney beans
70,45,1800,Sunflower
80,50,1600,Canola
65,35,2200,Cotton
75,40,2000,Sugarcane
85,55,1800,Potatoes
55,30,2200,Tomatoes
60,40,2000,Wheat
70,45,1800,Rice
80,50,1600,Maize
65,35,2200,Barley
75,40,2000,Oats
85,55,1800,Sorghum
55,30,2200,Millet
65,45,2100,Rye
70,50,1900,Quinoa
75,60,2000,Soybeans
65,45,1800,Peanuts
70,50,1600,Lentils
75,60,2200,Chickpeas
60,40,2000,Kidney beans
70,45,1800,Sunflower
80,50,1600,Canola
65,35,2200,Cotton
75,40,2000,Sugarcane
85,55,1800,Potatoes
55,30,2200,Tomatoes
60,40,2000,Wheat
70,45,1800,Rice
80,50,1600,Maize
65,35,2200,Barley
75,40,2000,Oats
85,55,1800,Sorghum
55,30,2200,Millet
65,45,2100,Rye
70,50,1900,Quinoa
75,60,2000,Soybeans
65,45,1800,Peanuts
70,50,1600,Lentils
75,60,2200,Chickpeas
60,40,2000,Kidney beans
70,45,1800,Sunflower
80,50,1600,Canola
65,35,2200,Cotton
75,40,2000,Sugarcane
85,55,1800,Potatoes
55,30,2200,Tomatoes
60,40,2000,Wheat
70,45,1800,Rice
80,50,1600,Maize
65,35,2200,Barley
75,40,2000,Oats
85,55,1800,Sorghum
55,30,2200,Millet
65,45,2100,Rye
70,50,1900,Quinoa
75,60,2000,Soybeans
65,45,1800,Peanuts
70,50,1600,Lentils
75,60,2200,Chickpeas
60,40,2000,Kidney beans
70,45,1800,Sunflower
80,50,1600,Canola
65,35,2200,Cotton
75,40,2000,Sugarcane
85,55,1800,Potatoes
55,30,2200,Tomatoes
